maxord,nonlin_conv_coef,max_conv_fails,fixedpointvecs,eta_cf,eta_max_fx,eta_min_fx,eta_max_gs,eta_min,eta_min_ef,runtime
3,0.575374,27,4,0.249964,14.678882,14.429838,12.504679,0.451938,0.341657,269.626781
1,0.615686,29,15,0.820664,7.501513,0.732808,10.128565,0.177043,0.475187,235.302393
3,0.024869,33,14,0.273037,4.512786,4.247341,2.800518,0.160535,0.114545,283.986977
4,0.652217,10,7,0.40016,14.574109,8.226787,0.785153,0.684822,0.56343,283.447192
2,0.126371,28,5,0.343674,13.001954,10.275275,16.448456,0.290437,0.665238,282.608998
2,0.223132,45,17,0.264073,7.81059,1.418216,0.339394,0.246764,0.017133,257.142396
2,0.15551,42,8,0.318881,6.643849,1.796671,4.019654,0.935072,0.311141,281.399323
3,0.737147,26,17,0.792758,6.21628,1.297787,19.067238,0.868843,0.416848,284.640369
2,0.259642,28,7,0.71592,8.555541,0.355989,11.315436,0.073999,0.037196,271.506208
2,0.596175,23,20,0.706131,17.008621,0.174349,5.075872,0.192643,0.752142,294.390215
2,0.862915,47,11,0.13021,3.345804,2.059229,0.49798,0.670801,0.813118,313.852481
4,0.212155,26,14,0.032458,16.125378,7.996186,12.568354,0.417357,0.594383,261.75573
5,0.673313,13,2,0.383354,2.558168,0.3121,13.784807,0.559007,0.575044,288.187378
1,0.229001,24,17,0.289471,11.943725,6.089744,8.173872,0.722548,0.230372,266.303143
3,0.678822,3,10,0.878399,9.737356,7.894124,7.307433,0.796745,0.624492,273.263066
2,0.25674,39,12,0.686891,9.373697,2.796518,1.622265,0.139546,0.055473,285.54883
1,0.817585,35,4,0.870937,8.888513,0.239967,8.436031,0.433179,0.890399,273.168406
3,0.0605,14,11,0.385326,8.704165,4.070968,15.135001,0.162879,0.288636,267.163902
4,0.568987,4,16,0.267612,18.974392,7.480413,1.759466,0.082574,0.850759,100000000.0
4,0.74085,12,16,0.761593,10.915331,0.467909,19.842387,0.414988,0.330185,259.754135
3,0.235237,31,4,0.542684,15.725953,6.815581,3.988365,0.351764,0.233645,277.069876
1,0.314431,11,19,0.213204,2.157454,0.865329,5.989514,0.060582,0.651172,256.348217
2,0.299953,11,4,0.569193,7.774026,5.904275,12.831398,0.840014,0.815963,278.527858
4,0.254742,4,19,0.124149,19.898514,4.397783,11.143768,0.448633,0.490495,275.418604
4,0.705458,10,3,0.034918,2.222358,0.007574,5.190874,0.119353,0.857781,292.589507
3,0.042405,45,17,0.428234,4.468404,2.669148,5.559575,0.412018,0.13108,284.474787
2,0.403659,19,4,0.105493,16.588683,5.00959,15.235313,0.430111,0.374812,286.767762
1,0.101008,50,2,0.027104,17.04941,3.658998,14.264894,0.804561,0.388082,268.033106
2,0.196026,27,5,0.612717,6.510814,0.689889,10.811681,0.565753,0.770626,100000000.0
4,0.385013,41,16,0.424939,14.320787,5.983216,9.571146,0.368134,0.802762,280.027045
3,0.167607,26,18,0.363153,17.708648,17.188824,11.787068,0.069001,0.297825,261.349822
4,0.338041,9,7,0.774116,9.844088,2.573252,1.703813,0.622181,0.235487,283.880893
3,0.094939,44,17,0.596636,16.537492,13.123772,17.185496,0.252175,0.287696,283.064486
2,0.298112,5,18,0.670334,16.827628,7.868433,18.681944,0.017536,0.424986,251.048642
2,0.076184,19,14,0.51939,11.193893,3.809059,19.706235,0.178692,0.489527,276.477116
2,0.400199,29,2,0.301153,10.935249,6.352861,19.142292,0.852279,0.095232,246.169607
2,0.198808,40,10,0.371689,12.664896,10.580845,17.857597,0.312815,0.659458,275.584909
1,0.290536,28,17,0.377587,10.84873,6.160163,11.595525,0.317187,0.602371,343.69773
2,0.08517,27,5,0.336948,17.085336,8.238782,10.696366,0.740772,0.531332,278.009728
1,0.223082,15,9,0.209758,16.817216,12.192048,0.637889,0.021203,0.076384,263.532847
2,0.1329,24,13,0.704676,19.888774,7.11106,2.491393,0.66216,0.065128,291.976614
2,0.441937,4,12,0.021523,16.288957,12.879968,3.442333,0.0588,0.18109,276.260253
4,0.071354,24,19,0.317993,13.015604,0.62356,7.977562,0.634527,0.270338,283.528638
2,0.769696,46,10,0.330241,9.460111,7.774633,1.818512,0.267839,0.0477,282.223859
2,0.635933,48,18,0.072079,5.299914,0.593335,6.729879,0.302056,0.361841,100000000.0
4,0.708458,12,4,0.474695,12.320262,9.326286,2.625467,0.199931,0.102497,100000000.0
2,0.376227,11,7,0.24621,4.532826,0.95269,2.817531,0.123431,0.042856,297.989231
2,0.216487,46,14,0.58761,13.065234,10.615421,8.47374,0.494615,0.085142,267.021963
4,0.361522,24,15,0.554813,17.686147,12.249822,10.907147,0.646342,0.356819,268.989909
1,0.610842,4,4,0.380825,14.533578,0.101111,16.247965,0.190961,0.807643,239.579176
3,0.050922,39,17,0.606684,13.180505,3.253476,11.399271,0.482827,0.124262,278.540766
2,0.575657,10,7,0.268801,7.208653,1.998339,16.218994,0.549336,0.110064,268.800161
5,0.788139,5,9,0.498674,3.517434,1.483514,14.421846,0.011324,0.419334,282.044501
1,0.281907,12,14,0.259896,11.363892,9.784664,10.42694,0.38209,0.340833,261.883934
1,0.598066,28,3,0.421422,12.711692,2.411899,17.522455,0.585695,0.166271,234.239339
4,0.394837,5,11,0.579687,5.730883,1.918633,15.183932,0.558529,0.139075,280.866863
2,0.500492,42,6,0.407145,15.924423,15.824884,13.108383,0.399715,0.061644,287.711533
3,0.262982,12,11,0.524246,11.206088,11.104005,9.161948,0.973193,0.359101,268.639573
2,0.300973,24,11,0.056521,12.140297,10.212515,11.884338,0.392917,0.199536,272.742229
4,0.603045,44,2,0.768123,19.397231,1.633556,3.674558,0.603953,0.156262,273.813882
2,0.865745,23,13,0.120633,13.814727,8.435542,10.873155,0.134766,0.437654,253.403276
1,0.162374,37,15,0.154227,18.675646,11.213634,19.504419,0.248941,0.762298,245.664859
2,0.211407,15,12,0.170281,17.632882,16.023169,11.01564,0.417185,0.626947,260.64621
3,0.547229,49,11,0.303414,11.679923,6.712168,14.644508,0.068572,0.029717,262.838492
4,0.237184,35,8,0.220267,12.117721,12.050282,3.534721,0.178673,0.464863,278.786553
4,0.633873,22,3,0.111234,13.073458,10.291705,16.342805,0.862983,0.580768,211.70488
2,0.304987,37,9,0.403081,16.425458,0.355381,16.916013,0.427077,0.230021,289.900138
3,0.343967,16,12,0.720448,17.47525,1.84094,18.782583,0.639278,0.733524,249.478874
5,0.130899,26,5,0.04101,18.104892,6.575842,17.564059,0.196922,0.781009,279.901386
2,0.003372,28,6,0.160924,8.334823,3.802944,15.053268,0.948589,0.547666,100000000.0
4,0.193023,42,17,0.322904,17.943688,14.295621,6.668462,0.253734,0.649612,301.189248
2,0.701551,38,11,0.16961,13.424094,5.405913,16.994215,0.711823,0.002616,244.958431
4,0.852675,7,17,0.808332,17.533245,4.792193,5.265876,0.293437,0.55688,284.865817
2,0.578606,44,13,0.224215,16.461453,2.054936,11.355339,0.062863,0.422753,255.525766
4,0.321778,13,11,0.660361,17.145174,4.586396,9.449337,0.590932,0.348365,284.943542
4,0.102384,15,3,0.882431,2.75338,0.771478,9.263009,0.551491,0.23764,100000000.0
2,0.836148,11,12,0.523949,18.964377,11.077634,1.597395,0.699137,0.860617,100000000.0
4,0.00183,48,17,0.157043,1.2647,0.27343,3.808597,0.598535,0.567471,292.575985
1,0.00817,5,18,0.704429,19.287452,5.325257,3.655037,0.602925,0.805229,276.054458
4,0.881501,29,5,0.026611,17.86714,0.492222,3.889952,0.452184,0.748335,100000000.0
5,0.500585,41,2,0.848475,7.147436,7.046971,4.720637,0.134504,0.165019,278.162923
2,0.705632,5,7,0.077442,12.893539,9.997211,1.888157,0.074112,0.105118,285.054573
2,0.780727,43,16,0.770983,11.994271,6.662152,9.003244,0.34597,0.077371,270.142533
5,0.754891,37,15,0.397181,15.734484,14.991801,7.025237,0.165762,0.528857,270.015847
4,0.203009,7,11,0.002304,17.067341,5.370262,4.646428,0.161277,0.292425,278.945231
4,0.369144,19,5,0.428774,10.114468,5.008994,12.154591,0.380882,0.296594,257.856393
3,0.22834,44,5,0.434974,3.932592,1.563115,11.233909,0.516043,0.674674,288.106284
1,0.170979,27,19,0.33284,17.64691,7.529129,8.711538,0.673533,0.721853,264.861277
3,0.140516,8,2,0.029726,14.022451,9.002599,2.952313,0.985143,0.147766,274.316088
3,0.815538,30,12,0.767367,8.958369,4.726165,1.769178,0.681393,0.68439,286.122007
5,0.80652,24,15,0.350559,17.290706,14.035676,5.382669,0.231249,0.053906,275.309777
1,0.273683,16,6,0.398433,4.016022,0.713022,14.02145,0.082145,0.534204,218.388447
2,0.498465,17,9,0.159251,1.872997,1.681114,13.957908,0.671755,0.381131,281.454602
4,0.181475,20,10,0.875137,19.248509,12.687043,3.390067,0.782155,0.65585,286.592714
3,0.458871,32,17,0.348523,14.767554,9.345596,8.021257,0.38417,0.408773,279.226358
1,0.389147,9,8,0.239692,4.476155,0.13503,1.307913,0.15574,0.186502,263.334033
3,0.690922,10,4,0.650374,13.942144,4.372646,14.521154,0.658583,0.18139,262.610362
3,0.170126,3,12,0.780492,10.141753,9.745418,11.443646,0.946247,0.269205,258.501117
2,0.474298,16,19,0.328141,11.560677,4.256716,6.580363,0.847998,0.417307,265.974133
4,0.553886,4,2,0.767055,12.233539,8.264189,12.804306,0.065938,0.584332,330.683917
5,0.221206,43,12,0.661077,12.484317,8.106242,11.141344,0.602665,0.852843,345.659654
2,0.051199,40,1,0.75352,10.192801,5.947239,14.715632,0.587281,0.388364,257.09342
2,0.346278,6,11,0.544285,18.324164,5.807632,5.784569,0.214661,0.275337,280.623056
1,0.73712,28,1,0.343075,10.837231,8.047135,7.101666,0.485842,0.28738,265.03691
3,0.457556,43,12,0.057246,4.446415,2.164333,12.152472,0.343277,0.672383,335.648564
2,0.129281,7,10,0.86749,15.409733,14.159409,4.063905,0.843112,0.320737,279.684346
4,0.766225,42,15,0.214798,4.989377,0.230896,17.851845,0.85468,0.196085,274.467541
1,0.620835,33,5,0.350417,6.476301,5.122393,6.3612,0.629414,0.880347,274.025358
2,0.841733,23,15,0.340346,1.626821,1.461235,7.526317,0.926006,0.398303,282.554712
3,0.760993,24,7,0.594481,10.743996,5.784892,13.694598,0.517864,0.225674,265.688784
3,0.581375,45,12,0.692955,16.367057,3.07967,19.877201,0.302101,0.053677,246.036319
3,0.79608,10,16,0.201682,11.767003,0.708519,6.964327,0.760011,0.815934,100000000.0
3,0.759361,7,16,0.412234,8.421161,1.98597,16.899294,0.734675,0.163459,266.328267
5,0.820011,12,5,0.022352,12.972677,1.953321,12.213322,0.182466,0.665762,279.767366
