maxord,nonlin_conv_coef,max_conv_fails,solver,maxl,epslin,eta_cf,eta_max_fx,eta_min_fx,eta_max_gs,eta_min,eta_min_ef,runtime
3,0.58674,35,newton_gmres,151,0.676824,0.078325,12.79084,11.18134,1.940901,0.436907,0.315386,156.255205
3,0.093532,14,newton_gmres,454,0.349321,0.551215,15.858896,6.832688,13.906247,0.218078,0.421691,129.70647
4,0.764597,17,newton_pcg,21,0.109568,0.209564,5.636313,2.213497,12.880502,0.914286,0.804855,31.07962
1,0.200931,30,newton_pcg,461,0.204352,0.88437,15.700825,6.268685,10.876615,0.149426,0.075799,131.853011
4,0.047306,28,newton_gmres,145,0.348137,0.359336,8.932688,5.443729,17.609796,0.173528,0.185492,36.43634
4,0.0631,45,newton_pcg,283,0.261665,0.395333,4.344384,3.201427,3.663635,0.658317,0.679795,4.386818
1,0.113312,6,newton_pcg,304,0.741229,0.239874,19.133509,15.593741,16.939795,0.533004,0.446259,128.125537
3,0.453608,17,newton_pcg,137,0.117762,0.040406,5.475728,4.430763,10.60567,0.51227,0.359629,8.530695
4,0.24248,40,newton_pcg,157,0.078812,0.067752,8.53633,5.692161,13.032767,0.513149,0.008738,10.992855
1,0.362108,4,newton_pcg,403,0.416494,0.368844,19.868339,1.195025,14.734028,0.544567,0.84647,128.672245
3,0.220643,21,newton_gmres,333,0.856962,0.202905,13.055602,7.255966,16.369153,0.12697,0.034875,84.557759
4,0.40549,26,newton_gmres,22,0.726229,0.516047,6.791649,6.211333,8.17286,0.965471,0.70524,33.575139
1,0.82656,38,newton_pcg,487,0.89556,0.347949,2.241046,0.403699,4.171924,0.34501,0.82561,127.632033
5,0.582553,16,newton_pcg,484,0.574127,0.076313,12.419321,6.015334,19.134024,0.061792,0.41228,21.579188
3,0.142085,12,newton_pcg,43,0.280235,0.325651,5.585174,4.708167,4.271461,0.449205,0.711469,5.756173
4,0.317963,50,newton_gmres,161,0.621181,0.280939,12.447713,0.349181,2.784144,0.318295,0.014727,120.569152
2,0.440784,10,newton_pcg,128,0.070583,0.168668,5.962829,3.473387,8.724995,0.076212,0.714969,7.720634
3,0.730752,4,newton_gmres,360,0.58473,0.519324,6.39562,5.916982,0.686275,0.817212,0.040403,465.477408
4,0.805047,39,newton_gmres,23,0.643648,0.409981,12.384249,3.665418,0.653281,0.605905,0.7609,137.941216
4,0.104987,49,newton_pcg,29,0.73807,0.182668,9.037591,1.51264,18.326001,0.59322,0.3799,35.684005
2,0.026378,20,newton_gmres,81,0.581685,0.26372,12.804681,0.650404,0.369462,0.179872,0.261826,28.365262
3,0.796909,28,newton_gmres,423,0.640052,0.877574,19.854819,8.283108,1.739561,0.466121,0.74254,800.734451
1,0.769844,12,newton_pcg,296,0.385742,0.053849,1.266396,0.257983,9.240371,0.01424,0.17228,20.983856
1,0.154281,32,newton_gmres,64,0.526398,0.838629,4.508884,4.485956,3.820519,0.650231,0.244656,150.128156
2,0.241731,17,newton_pcg,145,0.564665,0.196472,16.947673,1.78995,6.904219,0.916187,0.096299,30.772411
2,0.010669,34,newton_pcg,121,0.168149,0.111691,15.135262,12.914336,0.068922,0.499119,0.35856,13.726949
1,0.466303,6,newton_gmres,38,0.453534,0.025287,10.083177,10.039994,0.271943,0.763073,0.88898,145.799099
4,0.024633,36,newton_pcg,382,0.015611,0.129781,12.555966,0.020937,17.384961,0.116098,0.112924,8.0849
2,0.681146,3,newton_gmres,304,0.514101,0.235047,9.014484,4.891703,14.127581,0.252119,0.165897,183.571479
1,0.070929,32,newton_pcg,14,0.540038,0.511866,17.907131,9.000075,7.856499,0.170902,0.002781,128.279676
3,0.752395,31,newton_gmres,88,0.067181,0.14384,14.231432,6.78623,5.895484,0.326198,0.779209,43.854878
3,0.224968,43,newton_gmres,230,0.894179,0.765732,17.559627,14.101371,12.047922,0.509257,0.272059,56.59017
2,0.624822,17,newton_gmres,249,0.790477,0.054824,18.114047,9.200301,0.572997,0.104819,0.690771,310.342886
4,0.080502,5,newton_pcg,93,0.603367,0.216655,8.439846,1.310743,6.532369,0.231436,0.656732,31.778241
3,0.81134,21,newton_pcg,398,0.753345,0.815948,18.334975,13.287041,15.240992,0.072943,0.12922,145.374405
3,0.456166,5,newton_gmres,33,0.160351,0.540714,6.046619,1.909353,17.048087,0.081957,0.57188,34.477805
2,0.704621,7,newton_gmres,214,0.566531,0.728839,14.54318,1.560188,1.004467,0.13226,0.19396,330.23942
2,0.25295,39,newton_pcg,155,0.259414,0.305781,6.034877,3.29885,0.453761,0.620148,0.161124,30.051668
4,0.470474,19,newton_gmres,343,0.145367,0.094961,9.988354,4.010854,7.524029,0.206739,0.302691,137.799085
4,0.855953,10,newton_pcg,367,0.088138,0.659719,5.387709,1.020797,1.463813,0.728282,0.793091,13.544391
5,0.288545,38,newton_pcg,234,0.548565,0.661797,17.1836,12.363299,12.004426,0.858992,0.325844,21.849675
4,0.352207,35,newton_gmres,265,0.554679,0.150517,15.229085,5.173069,14.908048,0.885869,0.893721,59.964621
4,0.489844,12,newton_gmres,70,0.889554,0.42103,12.959664,9.057666,10.559067,0.810755,0.438662,110.55151
3,0.237609,21,newton_gmres,57,0.44063,0.690807,4.222357,0.868661,3.080797,0.134588,0.525852,34.296051
2,0.748795,28,newton_pcg,43,0.460427,0.46854,2.881092,1.586739,1.089697,0.421034,0.543211,35.50516
2,0.472797,15,newton_gmres,380,0.614715,0.714821,11.688208,9.923832,16.970569,0.840566,0.585102,115.70035
4,0.844493,42,newton_gmres,263,0.220214,0.347976,5.14904,1.380304,5.394509,0.805818,0.064457,158.256584
3,0.419223,11,newton_pcg,418,0.651643,0.240377,13.566731,9.705334,19.284906,0.099261,0.267856,20.675378
2,0.605478,27,newton_gmres,283,0.344801,0.761349,13.4496,0.483148,13.863241,0.501298,0.401447,65.07963
4,0.523259,8,newton_gmres,179,0.866884,0.635932,13.85724,4.451718,17.523784,0.181946,0.514928,228.698713
3,0.372054,46,newton_pcg,235,0.741434,0.225682,14.941648,7.234157,0.105815,0.6004,0.059827,25.304347
2,0.641648,26,newton_gmres,15,0.794765,0.237711,7.13405,6.561537,0.334648,0.775389,0.539141,135.016388
4,0.5838,19,newton_gmres,184,0.530716,0.039798,6.651647,2.820553,19.995795,0.337117,0.683981,66.009669
4,0.505779,19,newton_pcg,287,0.543998,0.151981,13.15207,1.459471,8.412547,0.918052,0.42449,27.883027
3,0.474785,22,newton_gmres,65,0.698591,0.215304,15.079449,14.329743,17.510966,0.510556,0.366001,23.104155
1,0.097825,33,newton_pcg,114,0.133564,0.218607,17.680024,7.528783,7.145797,0.869147,0.635178,35.430591
5,0.002643,39,newton_pcg,389,0.174832,0.76676,16.241293,5.733018,12.946238,0.967881,0.329115,10.04869
1,0.837047,45,newton_gmres,319,0.83933,0.223297,13.743927,1.250046,6.461401,0.052694,0.268609,522.789035
2,0.164998,48,newton_pcg,138,0.663289,0.485881,16.779981,16.462472,5.459047,0.370062,0.331706,37.666644
1,0.118514,9,newton_gmres,11,0.055397,0.728083,17.838707,11.458239,5.941774,0.616102,0.728951,137.793094
4,0.19962,11,newton_gmres,413,0.081236,0.603507,17.459498,14.73394,12.19868,0.409827,0.297934,126.504112
4,0.205824,47,newton_pcg,272,0.675505,0.12011,17.622487,8.731759,16.003467,0.122109,0.322984,17.93015
5,0.333215,3,newton_pcg,498,0.373147,0.894148,18.975476,2.422973,10.254343,0.524359,0.499789,24.131185
2,0.182083,24,newton_pcg,246,0.035911,0.538703,16.356482,9.894499,12.26808,0.671704,0.596415,39.474915
2,0.469248,3,newton_pcg,56,0.686147,0.481772,19.494037,15.300261,4.766744,0.541987,0.071366,43.239716
2,0.666484,41,newton_pcg,410,0.176115,0.462402,16.512146,4.041808,16.41075,0.736979,0.882649,17.187858
2,0.753292,10,newton_gmres,67,0.668986,0.496536,13.170786,10.342921,19.790379,0.257422,0.812191,121.930531
5,0.390911,28,newton_gmres,5,0.728815,0.471609,15.973593,12.29081,17.252946,0.04213,0.553615,21.017739
1,0.851473,17,newton_pcg,473,0.456175,0.010449,11.430471,7.702997,11.411489,0.723183,0.826316,129.340004
4,0.301686,47,newton_gmres,34,0.556185,0.322097,5.42881,2.556255,8.766703,0.719945,0.686144,37.959643
5,0.548509,29,newton_pcg,333,0.306068,0.169562,14.816405,13.901191,13.538008,0.553497,0.448729,20.058432
4,0.45112,46,newton_pcg,24,0.521665,0.115192,8.287928,3.74502,12.491003,0.177815,0.239107,25.751402
1,0.064081,9,newton_gmres,359,0.142298,0.550941,15.827172,9.806141,15.558424,0.801816,0.572107,625.190829
3,0.126012,17,newton_pcg,446,0.592168,0.314018,16.616467,6.028131,6.010842,0.126411,0.369465,34.388537
3,0.261974,28,newton_pcg,324,0.123656,0.834093,12.731661,7.661236,14.972357,0.513181,0.338711,19.099432
3,0.054033,4,newton_pcg,120,0.285848,0.02341,12.368927,3.052714,7.938306,0.747343,0.599308,37.276656
4,0.494515,35,newton_pcg,96,0.502438,0.467407,16.418917,6.408529,7.906499,0.259983,0.321569,28.793406
1,0.245213,15,newton_pcg,115,0.630699,0.346148,9.399893,3.578928,9.287136,0.890236,0.13073,128.413852
3,0.25555,44,newton_pcg,74,0.264257,0.870644,5.509986,4.58679,15.934399,0.822218,0.62484,8.624667
3,0.290456,30,newton_gmres,156,0.458601,0.650363,8.279038,3.005337,13.129247,0.20879,0.106904,44.915408
3,0.809266,42,newton_pcg,216,0.837727,0.693588,19.700662,3.474468,12.420535,0.945393,0.576381,245.762377
2,0.800102,27,newton_gmres,305,0.776471,0.299633,11.864794,10.59274,4.324507,0.676759,0.144525,717.202188
2,0.124516,30,newton_gmres,318,0.656148,0.213479,7.339085,1.835566,1.797847,0.637959,0.622185,410.082349
3,0.10872,44,newton_pcg,196,0.388801,0.254739,18.665738,6.51143,18.556007,0.07747,0.635981,49.727527
3,0.655454,39,newton_pcg,383,0.861514,0.649599,3.406983,0.560113,11.345124,0.117454,0.789574,192.196713
2,0.523988,23,newton_gmres,361,0.316688,0.361224,8.632955,1.444415,17.97892,0.203053,0.068809,139.161866
1,0.296419,46,newton_pcg,83,0.041065,0.81801,11.888655,7.976919,18.432831,0.169106,0.151883,80.012079
3,0.614643,15,newton_gmres,84,0.401674,0.117401,19.325019,6.153524,13.808891,0.613401,0.300926,24.881836
2,0.269471,14,newton_pcg,50,0.67924,0.208751,13.760306,9.282881,15.606587,0.656425,0.278865,19.908136
4,0.441153,47,newton_pcg,8,0.279876,0.624325,10.052169,6.232893,17.149259,0.631392,0.169095,22.859099
2,0.37758,19,newton_gmres,276,0.347271,0.434638,9.871893,9.366627,7.219257,0.037092,0.340174,105.099344
3,0.229816,35,newton_gmres,135,0.100401,0.820649,4.73565,2.377787,19.417128,0.292485,0.76748,23.901931
3,0.531563,12,newton_gmres,417,0.111558,0.709884,13.984021,10.232939,10.177123,0.249042,0.13955,153.10992
4,0.055069,6,newton_pcg,474,0.693503,0.506141,14.725807,12.243253,9.737664,0.667863,0.857904,38.197918
2,0.06996,50,newton_pcg,108,0.419542,0.560506,6.865137,1.967256,4.695009,0.674409,0.383168,11.514378
4,0.428272,12,newton_gmres,20,0.48942,0.350812,14.385871,4.800492,5.824256,0.535539,0.87778,39.165187
5,0.595486,6,newton_gmres,144,0.299359,0.7251,14.525031,11.882385,4.288462,0.012325,0.33546,78.006447
3,0.550408,22,newton_pcg,224,0.300105,0.387708,10.507711,2.870349,3.748475,0.635411,0.4168,49.6521
3,0.265388,48,newton_gmres,309,0.093723,0.618241,19.430489,1.103305,8.908611,0.70904,0.495064,106.914952
4,0.639656,31,newton_pcg,426,0.190567,0.073447,17.374287,0.211632,12.514676,0.430079,0.705951,21.20933
1,0.005407,24,newton_gmres,454,0.546128,0.412572,19.089752,5.296737,10.113819,0.436772,0.706409,967.647518
2,0.629393,49,newton_pcg,402,0.611018,0.555114,12.655932,11.288873,18.796965,0.060991,0.187281,50.234292
3,0.835925,5,newton_pcg,220,0.14936,0.60716,12.467488,0.770564,14.706611,0.608425,0.870695,19.282964
4,0.233905,34,newton_pcg,42,0.736491,0.245059,7.472452,3.868128,13.975722,0.457369,0.211942,27.119051
5,0.249635,16,newton_pcg,260,0.256502,0.422392,19.751281,0.522366,10.937137,0.123355,0.782413,23.360627
4,0.214014,25,newton_gmres,456,0.811382,0.804717,17.478221,17.443172,11.130536,0.44317,0.127693,171.80088
2,0.794254,10,newton_gmres,331,0.193709,0.307508,16.323308,9.426441,0.404029,0.211643,0.228615,107.181138
4,0.175274,14,newton_gmres,193,0.899124,0.312044,16.584663,4.863863,9.169686,0.868675,0.427934,56.392821
5,0.675017,43,newton_pcg,252,0.148713,0.386961,7.047949,5.935208,16.775621,0.85799,0.784552,24.546395
5,0.170298,47,newton_gmres,465,0.101407,0.00284,15.321644,5.619913,11.230827,0.955565,0.309602,169.274768
5,0.040332,30,newton_gmres,112,0.810173,0.281036,11.583609,5.328793,13.776637,0.87652,0.777434,27.739809
3,0.818952,31,newton_pcg,150,0.817245,0.006836,14.46605,2.721673,16.160183,0.074641,0.71646,154.192062
4,0.885216,46,newton_gmres,119,0.696647,0.074787,14.092699,3.325125,8.365779,0.38665,0.738283,303.051504
2,0.757926,44,newton_pcg,36,0.342492,0.142621,19.792453,14.177689,10.030056,0.6092,0.05139,25.574802
3,0.512096,39,newton_pcg,238,0.217766,0.825275,18.148354,5.454672,15.181174,0.680631,0.81262,18.412342
5,0.275451,49,newton_gmres,89,0.685373,0.847961,6.541965,3.637429,11.755597,0.879259,0.821938,38.944183
5,0.507328,38,newton_pcg,363,0.397345,0.133883,12.535627,0.982422,12.869342,0.522235,0.435992,52.402006
5,0.798488,27,newton_pcg,147,0.785511,0.501225,17.721371,12.103636,16.274786,0.235539,0.587754,201.16979
3,0.34094,49,newton_pcg,300,0.157852,0.653479,7.623428,2.184091,1.433303,0.43598,0.746813,31.663482
4,0.482203,33,newton_gmres,499,0.658346,0.319295,17.311472,14.747969,17.404276,0.735269,0.347143,150.510081
5,0.817867,5,newton_gmres,201,0.362933,0.684978,18.383944,8.046207,13.747843,0.712788,0.796238,57.320732
3,0.283723,8,newton_pcg,497,0.819648,0.642374,11.141204,2.753581,19.794138,0.489154,0.027207,21.349769
5,0.525969,49,newton_pcg,386,0.891389,0.25979,5.207799,3.260828,7.686612,0.446945,0.411664,56.683096
3,0.33019,47,newton_gmres,257,0.310081,0.570034,12.133288,9.074301,1.319042,0.049441,0.32769,323.021509
3,0.556228,6,newton_gmres,202,0.451637,0.644576,16.066507,1.047793,6.101889,0.302578,0.787997,86.440326
4,0.110931,43,newton_gmres,490,0.241048,0.71858,11.656065,8.221083,15.1316,0.770808,0.43665,169.700416
4,0.41103,27,newton_gmres,263,0.41745,0.066132,14.301343,12.337326,9.468981,0.30954,0.775877,78.65322
5,0.16599,13,newton_gmres,450,0.615294,0.688655,18.211183,5.988718,14.485763,0.998531,0.624153,135.886863
2,0.774698,49,newton_gmres,164,0.598984,0.079473,8.875065,7.023252,0.468892,0.852442,0.466904,142.767591
5,0.672505,32,newton_gmres,244,0.086241,0.759366,15.042938,3.821191,12.682681,0.195055,0.259864,55.021148
3,0.062697,26,newton_gmres,91,0.222952,0.512713,5.098866,4.69886,17.820022,0.250599,0.350029,14.153798
5,0.429833,20,newton_gmres,468,0.63712,0.844081,14.182328,12.396967,19.689885,0.292952,0.465344,152.610629
4,0.778364,43,newton_pcg,335,0.29325,0.749712,13.295774,7.046728,8.963974,0.6243,0.474072,25.877192
2,0.515376,37,newton_pcg,86,0.710467,0.551654,16.696284,0.431556,14.386141,0.815189,0.555938,29.472244
4,0.479439,11,newton_gmres,496,0.295619,0.675752,10.595818,5.181423,6.420389,0.565402,0.733482,305.278332
