maxord,nonlin_conv_coef,max_conv_fails,maxl,epslin,runtime
1,0.584591,43,297,0.868707,9.684741
2,0.806275,40,77,0.693594,1.765026
3,0.0115,7,312,0.062494,0.653599
1,0.097516,14,10,0.215755,1.452506
1,0.611068,14,149,0.63925,3.189703
1,0.662907,47,54,0.567634,1.67391
2,0.333091,37,200,0.487328,0.423505
3,0.247858,10,432,0.861754,1.069349
2,0.531442,45,109,0.345436,0.27689
1,0.577955,16,99,0.625112,2.199856
2,0.180244,17,116,0.264365,0.393292
2,0.721634,49,429,0.039636,1.244799
2,0.564042,17,237,0.100591,0.559979
3,0.365876,20,285,0.321147,0.524141
4,0.263802,16,234,0.775362,0.533877
4,0.278378,8,171,0.052009,0.28104
2,0.862371,28,63,0.306487,0.227433
3,0.356081,16,459,0.428656,1.140185
2,0.316033,20,303,0.288987,0.68936
4,0.142841,42,30,0.787108,0.244537
2,0.173689,7,180,0.235221,0.47485
3,0.290408,6,161,0.782322,0.330911
4,0.706702,23,215,0.204315,0.369292
1,0.559599,42,357,0.536391,13.958138
4,0.797943,20,15,0.585074,0.729802
2,0.486159,50,290,0.404905,0.581021
4,0.297628,13,481,0.758298,1.286182
3,0.021967,22,85,0.137043,0.388423
4,0.058138,27,5,0.252879,0.536872
3,0.516727,30,139,0.543038,0.30059
1,0.323638,33,489,0.492377,14.379621
5,0.523091,46,197,0.870427,3.033469
4,0.501741,15,415,0.027453,0.555765
4,0.637339,7,341,0.447401,0.798817
3,0.439848,19,467,0.443273,1.175287
3,0.003289,25,183,0.285354,0.484061
3,0.386509,47,384,0.401764,0.851167
1,0.624964,31,257,0.810293,7.65611
5,0.553029,43,264,0.450593,0.5958
4,0.428514,8,229,0.312271,0.491953
3,0.064553,19,320,0.739113,0.461381
2,0.68339,18,309,0.65125,1.882332
4,0.852505,36,443,0.003883,0.580118
1,0.842359,9,74,0.30028,1.348809
4,0.036611,25,173,0.683678,0.263566
4,0.450105,34,132,0.419058,0.318239
2,0.507975,38,352,0.721782,1.243276
5,0.207622,38,378,0.144472,0.576654
4,0.192986,44,283,0.139028,0.412493
4,0.421408,41,241,0.090771,0.351505
